Key,French
InventoryItemNames/InvItem_676,Tapis violet simple
InventoryItemNames/InvItem_677,Basic Blue Orange
InventoryItemNames/InvItem_678,Sol en marbre
InventoryItemNames/InvItem_679,Livre d'entomologie 
InventoryItemNames/InvItem_68,Pantalon d'affaires
InventoryItemNames/InvItem_680,Livre d'ichtyologie 
InventoryItemNames/InvItem_681,Herbier 
InventoryItemNames/InvItem_682,Compacteur
InventoryItemNames/InvItem_683,Capuche Jackaroo
InventoryItemNames/InvItem_684,Hélicoptère
InventoryItemNames/InvItem_685,Tourte à la viande
InventoryItemNames/InvItem_686,Pavlova
InventoryItemNames/InvItem_687,Saucisse sur batônnet 
InventoryItemNames/InvItem_688,Batte à dents de croco
InventoryItemNames/InvItem_689,Batte enflammée
InventoryItemNames/InvItem_69,Chemise d'affaires
InventoryItemNames/InvItem_690,Quiche
InventoryItemNames/InvItem_691,Viande sur un bâton.
InventoryItemNames/InvItem_692,Réservoir d'eau
InventoryItemNames/InvItem_693,Silo
InventoryItemNames/InvItem_694,Graine de bois sombre
InventoryItemNames/InvItem_7,Houe
InventoryItemNames/InvItem_70,Chaussures d'affaires
InventoryItemNames/InvItem_71,Pantalon vert
InventoryItemNames/InvItem_72,Pull vert
InventoryItemNames/InvItem_73,Chaussures vertes
InventoryItemNames/InvItem_74,Chemise festive
InventoryItemNames/InvItem_75,tongs
InventoryItemNames/InvItem_76,Short festif 
InventoryItemNames/InvItem_77,Chemise de chantier
InventoryItemNames/InvItem_78,Bottes kaki
InventoryItemNames/InvItem_79,Short kaki
InventoryItemNames/InvItem_8,Pioche rudimentaire
InventoryItemNames/InvItem_80,kakiKahkey
InventoryItemNames/InvItem_81,Permis pour une boutique de vêtements
InventoryItemNames/InvItem_82,Short bleu
InventoryItemNames/InvItem_83,Chemise bleue et jaune
InventoryItemNames/InvItem_84,Chaussures de sport rouge
InventoryItemNames/InvItem_85,Robe bleue
InventoryItemNames/InvItem_86,Robe de fée 
InventoryItemNames/InvItem_87,Ballerines blanches
InventoryItemNames/InvItem_88,Manteau moutarde
InventoryItemNames/InvItem_89,Baskettes blanches
InventoryItemNames/InvItem_9,Torche
InventoryItemNames/InvItem_90,Jeans déchirés
InventoryItemNames/InvItem_91,Robe blanche
InventoryItemNames/InvItem_92,Ballerines blanches
InventoryItemNames/InvItem_93,Robe rouge
InventoryItemNames/InvItem_94,Ballerines rouges
InventoryItemNames/InvItem_95,Manteau rayé 
InventoryItemNames/InvItem_96,Pantalon rayé 
InventoryItemNames/InvItem_97,Sauterelle 
InventoryItemNames/InvItem_98,Libellule à queue bleue
InventoryItemNames/InvItem_99,Pont en bois

LicenceDesc/Licence_AgriculturalVehicle_1_Desc,Permet au titulaire d'à acheter des véhicules agricoles et à utiliser une Moissonneuse avec
LicenceDesc/Licence_AgriculturalVehicle_2_Desc,Permet au titulaire d'utiliser une Charrue avec les véhicules agricoles
LicenceDesc/Licence_AgriculturalVehicle_3_Desc,Autorise son propriétaire à utiliser un Semoir avec les véhicules agricoles
LicenceDesc/Licence_AnimalHandling_1_Desc,Permet au titulaire d'acheter et d'élever des chooks.
LicenceDesc/Licence_AnimalHandling_2_Desc,Permet au titulaire d'acheter et d'élever des Vombats.
LicenceDesc/Licence_AnimalHandling_3_Desc,Permet au titulaire d'acheter et d'élever des Pleeps
LicenceDesc/Licence_AnimalTrapping_1_Desc,Permet au titulaire de créer et d'utiliser des pièges et des points de collecte. Une récompense sera remise pour chaque animal déposé avec succès. 
LicenceDesc/Licence_AnimalTrapping_2_Desc,Permet au titulaire de créer et d'utiliser des pièges plus avancés.
LicenceDesc/Licence_AnimalTrapping_Desc, Permet au titulaire de créer et d'utiliser des pièges et des points de collecte. Une récompense sera remise pour chaque animal déposé avec succès. 
LicenceDesc/Licence_Building_1_Desc,Permet au titulaire de créer des ponts rudimentaires
LicenceDesc/Licence_Building_2_Desc,Permet au titulaire de construire des moulins à vent pour accélérer l'efficacité de certains appareils 
LicenceDesc/Licence_Cargo_1_Desc,Permet au titulaire d'agrandir son inventaire de 3 emplacements 
LicenceDesc/Licence_Commerce_1_Desc,Le titulaire recevra 5% de plus lors de la vente d'objets
LicenceDesc/Licence_Commerce_2_Desc,Le titulaire recevra 10% de plus lors de la vente d'objets
LicenceDesc/Licence_Commerce_3_Desc,Le titulaire recevra 15% de plus lors de la vente d'objets
LicenceDesc/Licence_DeepMining_Desc,Débloque le permis pour une mine et permet d'entrer dans les profondeurs
LicenceDesc/Licence_Diving_1_Desc,Permet au titulaire de plonger sous l'eau pour récupérer des objets.
LicenceDesc/Licence_Excavation_Desc,Permet au titulaire d'acheter et d'utiliser des pelles
LicenceDesc/Licence_Farming_1_Desc,Permet au titulaire d'acheter du matériel agricole et des graines
LicenceDesc/Licence_Farming_2_Desc,Permet au titulaire de fabriquer et d'utiliser de l'engrais. Débloque un plan d'arrosoir.
LicenceDesc/Licence_Farming_3_Desc,Permet au titulaire de fabriquer et d'utiliser des arroseurs automatiques. Débloque un nouveau plan d'arrosoir.
LicenceDesc/Licence_Fishing_1_Desc,Permet au titulaire d'acheter des cannes à pêche et d'attraper des poissons.
LicenceDesc/Licence_Fishing_2_Desc,Permet au titulaire de voir les bulles créées par les créatures sous-marines. Débloque un paln de canne à pêche.
LicenceDesc/Licence_Fishing_3_Desc,Permet au titulaire de créer des pièges à crabes. Débloque un nouveau plan de canne à pêche. 
LicenceDesc/Licence_Hunting_1_Desc,Permet au titulaire de créer des armes rudimentaires. 
LicenceDesc/Licence_Hunting_2_Desc,Permet au titulaire de créer de meilleures armes. Débloque le permis de braconnage 
LicenceDesc/Licence_Hunting_3_Desc,Permet au titulaire de créer de meilleures armes à partir de butins de chasse. Les animaux ont plus de chance de laisser tomber des objets utiles. 
LicenceDesc/Licence_Irrigation_1_Desc,Permet au titulaire de créer des arroseurs automatiques et des réservoirs d'eau.
LicenceDesc/Licence_Irrigation_2_Desc,Permet au titulaire de créer de meilleurs arroseurs automatiques. 
LicenceDesc/Licence_Landscaping_1_Desc,Permet au titulaire de créer de nouveaux chemins. 
LicenceDesc/Licence_Landscaping_2_Desc,Permet au titulaire de créer de nouvelles clôture.
LicenceDesc/Licence_Landscaping_3_Desc, Permet au titulaire de créer des pareterres de fleurs. 
LicenceDesc/Licence_Logging_1_Desc,Permet au titulaire d'acheter des haches et d'abattre des arbres
LicenceDesc/Licence_Logging_2_Desc,Permet au titulaire de créer une meilleure hache
LicenceDesc/Licence_Logging_3_Desc,Permet au titulaire de créer une meilleure hache. 
LicenceDesc/Licence_MetalDetecting_1_Desc,Permet au titualire d'acheter un détecteur de métaux et de chercher des trésors 
LicenceDesc/Licence_MetalDetecting_2_Desc,Permet au titulaire de détecter certains objets enterrés à l'oeil nu 
LicenceDesc/Licence_Mining_1_Desc,Permet au titualire d'acheter des pioches et de casser des rochers et des gisements de minerai.
LicenceDesc/Licence_Mining_2_Desc,Permet au titulaire de créer une meilleure pioche
LicenceDesc/Licence_Mining_3_Desc,Permet au titulaire de créer une meilleure pioche
LicenceDesc/Licence_ToolBelt_Desc,Permet au titulaire d'agrandir sa barre d'outils d'un emplacement
LicenceDesc/Licence_Vehicle_1_Desc,Permet au titulaire d'acheter et de conduire des bateaux.
LicenceDesc/Licence_Vehicle_2_Desc,Permet au titulaire d'acheter et de conduire des véhicules terrestres.
LicenceDesc/Licence_Vehicle_3_Desc,Permet au titulaire d'acheter et de conduire des véhicules aériens

LicenceNames/Licence_1,Licence de mine
LicenceNames/Licence_10,Permis de construction 
LicenceNames/Licence_11,Licence agricole 
LicenceNames/Licence_12,Licence d'inventaire 
LicenceNames/Licence_13,Licence de minage avancé
LicenceNames/Licence_14,Licence d'outillage
LicenceNames/Licence_15,Licence de braconnage 
LicenceNames/Licence_16,Licence de fouilles
LicenceNames/Licence_17,Licence d'irrigation
LicenceNames/Licence_18,Licence de véhicules agricoles
LicenceNames/Licence_2,Licence de bûcheronnage 
LicenceNames/Licence_3,Permis de Pêche
LicenceNames/Licence_4,Permis de Chasse
LicenceNames/Licence_5,Licence de paysagiste 
LicenceNames/Licence_6,Chasse au trésor 
LicenceNames/Licence_7,Permis de conduire
LicenceNames/Licence_8,Licence de Commerce
LicenceNames/Licence_9,Licence d'élevage 

MenuText/MainMenu_Back,Retour
MenuText/MainMenu_HostWorld,Continuer
MenuText/MainMenu_JoinWorld,Multijoueur
MenuText/MainMenu_NewGame,Nouvelle partie
MenuText/MainMenu_Options,Options

MilestonDesc/MilestoneDesc_0,Aucun

MilestoneDesc/MilestoneDesc_0,Aucun
MilestoneDesc/MilestoneDesc_1,Ramasser des fruits et des bûches vous sera utile par ici. Voici une récompense pour en avoir rassembler un bon nombre. 
MilestoneDesc/MilestoneDesc_10,Planter des graines dans cette terre rouge. Elles poussent si vite. Voici une récompense pour avoir planté des graines.
MilestoneDesc/MilestoneDesc_11,Arroser vos plantes est bon pour leurs croissances et pour votre âme. C'est du gagnant-gagnant ! Voici une récompense pour avoir arrosé beaucoup de plantes
MilestoneDesc/MilestoneDesc_12,Casser des pierres est loin d'être facile. Mais, parfois, elles cachent quelque chose en elles ! Voici une récompense pour avoir cassé des pierres. 
MilestoneDesc/MilestoneDesc_13,Vous avez brisé quelques roches remplies de minerai. Voici une récompense pour avoir miné des gisements de minerai.
MilestoneDesc/MilestoneDesc_14,Raffiner. Oh, vous avez raffiné des métaux. Voici une récompense pour avoir fondu des minerais en lingots. 
MilestoneDesc/MilestoneDesc_15,Réduire des roches en poussière. Voici une récompense pour avoir utilisé un broyeur un bon paquet de fois.
MilestoneDesc/MilestoneDesc_16,Parfois les arbres se trouvent sur votre route, parfois vous avez juste besoin d'emprunter un peu de leur bois. Voici une récompense pour avoir coupé du bois.
MilestoneDesc/MilestoneDesc_17,Vous ne pouvez pas vous contenter de couper un arbre et de laisser sa souche. Voici une récompense pour vous être débarrassé des petites souches qui sont là après la chute des arbres..
MilestoneDesc/MilestoneDesc_18,Vous aimez le bois, non? Mais qu'en est-il du bois carré? Voici une récompense pour avoir découpé du bois en planches.
MilestoneDesc/MilestoneDesc_19,Vous avez attrapé un tas de poissons. Voici une récompense pour avoir péché plein de poissons!
MilestoneDesc/MilestoneDesc_2,Être amical et se faire des amis est une aventure à part entière! Assurez-vous de discuter avec tout le monde tous les jours! Vous pourriez apprendre quelque chose.
MilestoneDesc/MilestoneDesc_20,Peu importe combien de fois vous nettoyer, elles ne cessent de revenir. Tondre n'a pas de fin. Voici une récompense pour avoir couper des hautes herbes. 
MilestoneDesc/MilestoneDesc_21,Chasser est parfois nécessaire. Voici une récompense pour avoir chassé des animaux. 
MilestoneDesc/MilestoneDesc_22,Piéger des animaux afin de les relocaliser est une façon respectable de les traiter. Même si ce n'est pas facile. Voici une récompense pour avoir piégé des animaux.
MilestoneDesc/MilestoneDesc_23,Vous achetez des meubles pour votre maison? Peut-être pour offrir ? Voici une récompense pour avoir acheté de meubles.
MilestoneDesc/MilestoneDesc_24,On change les murs, pas la maison ! Voici une récompense pour avoir acheté du papier-peint. 
MilestoneDesc/MilestoneDesc_25,Voici une récompense pour avoir acheter du plancher. 
MilestoneDesc/MilestoneDesc_26,Voici une récompense pour avoir acheté des graines. 
MilestoneDesc/MilestoneDesc_27,Récoltez ce que vous avez semé. Voici une récompense pour avoir récolté vos cultures.
MilestoneDesc/MilestoneDesc_28,Vous avez fière allure dans vos habits neufs ! Voici une récompense pour avoir acheté des vêtements.
MilestoneDesc/MilestoneDesc_29,Des fruits cuits. Ça n'a pas l'air terrible, je sais. C'est peut-être le cas… Enfin, voici une récompense pour avoir cuit des fruits. 
MilestoneDesc/MilestoneDesc_3,Attraper des insectes est un très bon loisir. Voici une récompense pour avoir attrapé certaines de ces bestioles effrayantes.
MilestoneDesc/MilestoneDesc_30,Mélanger des trucs ensemble pour cuisiner quelque chose ? Vous êtes un vrai chef, ça pour sûr ! Voici une récompense pour avoir cuisiné de bons petits plats.
MilestoneDesc/MilestoneDesc_31,Remplacer toujours ce que vous avez pris. Voici une récompense pour avoir planter des arbres. 
MilestoneDesc/MilestoneDesc_32,Pourquoi les poissons vivent-ils dans l'océan alors qu'ils seraient plus utiles à vous aider à vous remplir les poches. Voici une récompense pour avoir vendu des poissons.
MilestoneDesc/MilestoneDesc_33,Il y a des insectes partout. Pour on ne sait quelle raison, John en veux. Voici une récompense pour avoir vendu des insectes.
MilestoneDesc/MilestoneDesc_34,Il faut être prêt à tout pour se faire le moindre Dink. Y compris dépouiller les plages. Voici une récompense pour avoir vendu des coquillages.
MilestoneDesc/MilestoneDesc_35,Les cultures, ça rapporte ! Vous avez récolté ce que vous avez semé. Voici une récompense pour avoir vendu vos cultures.
MilestoneDesc/MilestoneDesc_36,Le sol est rempli de richesse. Voici une récompense pour avoir déterré des trésors.
MilestoneDesc/MilestoneDesc_37,Planter un fruit pour obtenir un nouvel arbre fruitier ! Comme c'est beau ! Voici une récompense pour avoir planté des fruits.
MilestoneDesc/MilestoneDesc_38,Voici une récompense pour avoir plonger en quête de trésors. 
MilestoneDesc/MilestoneDesc_39,Vous traitez vos amis à plumes et à poils comme il se doit. Voici une récompense pour vous être bien occupé de vos animaux.
MilestoneDesc/MilestoneDesc_4,Savoir fabriquer toutes sortes d'objets est des plus utiles lorsqu'on démarre de rien. Voici une récompense pour avoir fabriqué des objets. 
MilestoneDesc/MilestoneDesc_40,Vous les nourrissez chaque jour pour qu'ils vous aiment. Voici une récompense pour avoir nourri vos animaux. 
MilestoneDesc/MilestoneDesc_41,Explorer les profondeurs de l'île est dangereux… mais cela ne vous fait pas peur ! Voici une récompense pour vous être plongé dans les mines.
MilestoneDesc/MilestoneDesc_42,Vous aidez tous ceux qui vous le demandent, hein ? Voici une récompense pour avoir répondu aux besoins des habitants. 
MilestoneDesc/MilestoneDesc_43,Être empoisonné ne vous tuera pas, mais cela vous fatiguera énormément. Voici une récompense pour avoir été empoisonné. Mais faites en sorte que cela ne se reproduise plus, d'accord ?
MilestoneDesc/MilestoneDesc_44,Vous savez encaisser. Voici une récompense pour avoir subi des dégâts.
MilestoneDesc/MilestoneDesc_45,Faites attention à votre énergie. Si vous faites trop d'efforts ou que vous restez éveillé tard la nuit, vous vous évanouirez. Vous perdrez de l'argent si vous tombez dans les pommes. Voici une récompense pour vous être évanoui, mais tâchez de ne plus recommencer. 
MilestoneDesc/MilestoneDesc_46,Plus vous êtes ami avec quelqu'un, plus il y a de chance qu'il vous envoie des cadeaux ! Voici une récompense pour avoir reçu des lettres.
MilestoneDesc/MilestoneDesc_47,D'une tente, à une maison, à un petit manoir ! Voici une récompense pour avoir agrandi votre foyer.
MilestoneDesc/MilestoneDesc_48,Toute aventure démarre quelque part, et la vôtre débute ici. Voici une récompense pour avoir placé votre tente.
MilestoneDesc/MilestoneDesc_49,Un endroit où se reposer. Votre nouvelle demeure désormais. Voici une récompense pour avoir placé votre tente (peut-être erreur de description en anglais, je soupçonne qu'il s'agisse plutôt de la maison que de la tente)
MilestoneDesc/MilestoneDesc_5,Fruit ? Viande ? Champignon ? Qu'importe. La nourriture vous donne de l'énergie pour poursuivre vos tâches quotidiennes. Voici une récompense pour vous être nourri.
MilestoneDesc/MilestoneDesc_50,Construire la ville, un bâtiment à la fois. Voici une récompense pour avoir achevé la construction d'un nouveau bâtiment.
MilestoneDesc/MilestoneDesc_51,Vous pouvez acheter de nombreux outils utiles pour vous aider! Voici une récompense pour avoir acheté des outils.
MilestoneDesc/MilestoneDesc_52,En quoi ces trucs sont faits ? Voici une récompense pour avoir cassé des outils. 
MilestoneDesc/MilestoneDesc_53,Vous faites toujours de votre mieux pour aider les personnes qui ont posté sur le tableau d'affichage. Voici une récompense pour avoir complété des requêtes.
MilestoneDesc/MilestoneDesc_54,Vous vous assurez de documenter tous les insectes que vous avez capturés. Voici une récompense pour avoir ajouté de nouvelles espèces d'insectes à votre Pédie.
MilestoneDesc/MilestoneDesc_55,Vous vous assurez de documenter tous les poissons que vous avez capturés. Voici une récompense pour avoir ajouté de nouvelles espèces de poissons à votre Pedie.
MilestoneDesc/MilestoneDesc_56,Vous documentez toute la faune de l'île. Voici une récompense pour avoir ajouté de nouveaux animaux à votre Pédie.
MilestoneDesc/MilestoneDesc_57,Récupérez les productions de vos élevages et augmentez leurs valeurs ! Voici une récompense pour avoir transformé vos productions d'élevage. 
MilestoneDesc/MilestoneDesc_58,Ils se brisent facilement mais se vendent à bon prix ! Voici une récompense pour avoir vendu des oeufs. 
MilestoneDesc/MilestoneDesc_59,Vous devez rendre après avoir pris. Voici une récompense pour avoir replanté des graines d'herbe, de buissons et d'arbres. 
MilestoneDesc/MilestoneDesc_6,On ne peut pas dire que rester planté à un seul endroit soit de l'exploration. Vous allez devoir aller loin, ça c'est sûr ! Voici une récompense pour avoir exploré l'île.Пребывание в одном месте обычно не считается исследованием. Вы наверняка преодолеете какое-то расстояние! Вот веха для путешествий!
MilestoneDesc/MilestoneDesc_60,Ramasser de la terre pour la mettre ailleurs. Voici une récompense pour avoir déplacé de la terre.
MilestoneDesc/MilestoneDesc_61,Et si vous preniez les outils de John pour les rendre meilleurs ? Voici une récompense pour avoir amélioré vos outils.
MilestoneDesc/MilestoneDesc_62,Voyager à pied, c'est bon pour les crétins. Voici une récompense pour avoir voyagé avec classe sur des véhicules.
MilestoneDesc/MilestoneDesc_63,Voici une récompense pour avoir changé de coiffure.
MilestoneDesc/MilestoneDesc_64,Placer de l'argent à la banque. Malin. Voici une récompense pour avoir un coeur de glace. 
MilestoneDesc/MilestoneDesc_65,Offrir un nouveau foyer à un animal est une bonne action. Voici une récompense pour avoir acheté un nouveau compagnon. 
MilestoneDesc/MilestoneDesc_66,Les pièges à crabes n'attrapent pas toujours des crabes mais quand c'est le cas, c'est soirée crabe ! Voici une récompense pour avoir attrapé quelque chose dans votre piège à crabe. 
MilestoneDesc/MilestoneDesc_67,Une récompense pour avoir vendu des fossiles.
MilestoneDesc/MilestoneDesc_68,Une récompense pour avoir vendu des oeufs de Wary Mu
MilestoneDesc/MilestoneDesc_69,Les ruches. Vous pouvez les casser ou les vendre. Voici une récompense pour avoir vendu des ruches. 
MilestoneDesc/MilestoneDesc_7,Il n'y a rien de mal à dépenser son flouz durement gagné. Voici une récompense pour avoir dépensé des Dinks. 
MilestoneDesc/MilestoneDesc_70,Garder vos abeilles heureuses et elles produiront un peu de miel. Voici une récompense pour avoir récolté du miel.
MilestoneDesc/MilestoneDesc_71,Peindre vos véhicules vous permet de savoir lesquels sont à vous. Voici une récompense pour avoir peint vos véhicules.
MilestoneDesc/MilestoneDesc_72,Partir pêcher pour finir par ferrer un requin. Sacrebleu ! Voici une récompense pour avoir pêché cette bête.
MilestoneDesc/MilestoneDesc_73,Les coquillages sont les ordures de la nature. Voici une récompense pour avoir ramassé ces saletés. 
MilestoneDesc/MilestoneDesc_74,Ces fleurs pourraient donner quelque chose de pas mauvais si on les mettait dans un tonneau pour les faire fermenter. Voici une récompense pour avoir fait fermenter des fleurs.
MilestoneDesc/MilestoneDesc_75,Les tours de téléportations sont bien pratiques. Mais êtes-vous toujours vous après les utiliser ? Enfin, voici une récompense pour avoir utilisé des tours de téléportation.
MilestoneDesc/MilestoneDesc_76,Les plantes aiment les vieux trucs puants. Le caca. Les os. Ils adorent ça. Voici une récompense pour avoir utilisé le composteur. 
MilestoneDesc/MilestoneDesc_77,Déplacer de la terre d'un endroit à l'autre. Voici une récompense pour avoir utilisé une brouette.
MilestoneDesc/MilestoneDesc_78,Tondre la pelouse. Vous n'êtes plus à la campagne maintenant. Voici une récompense pour avoir tondu la pelouse. 
MilestoneDesc/MilestoneDesc_79,Un hélicoptère ? Qui vole ? Voici une récompense pour avoir volé tel un oiseau.
MilestoneDesc/MilestoneDesc_8,Gagner sa croûte. De la bonne tunasse. Il n'y a rien de mal à se faire un peu d'argent. Voici une récompense pour avoir vendu des trucs contre de l'argent. 
MilestoneDesc/MilestoneDesc_80,Maintenant, c'est l'heure de devenir un vrai agriculteur. Voici une récompense pour avoir acquis un tracteur.
MilestoneDesc/MilestoneDesc_81,Un seau sur la tête ! Quelle tête de linotte ! Et ça vous fait rire ! Voici une récompense pour avoir mis un seau sur votre tête. 
MilestoneDesc/MilestoneDesc_82,Prendre des photos. Immortiliser des souvenirs. Voici une récompense pour avoir pris quelques clichés.
MilestoneDesc/MilestoneDesc_83,Tomber avec classe. Voici une récompense pour avoir plané. 
MilestoneDesc/MilestoneDesc_84,Déverrouiller des portes grâce à vos clés. Où partent-elles ? Qui sait. Voici une récompense pour avoir utilisé des clés.
MilestoneDesc/MilestoneDesc_85,Voici une récompense pour avoir trait des Vombats
MilestoneDesc/MilestoneDesc_86,Voici une récompense pour avoir tondu des Pleeps.
MilestoneDesc/MilestoneDesc_87,Voici une récompense pour avoir vendu des fruits.
MilestoneDesc/MilestoneDesc_88,Voici une récompense pour avoir vendu de l'ambre.
MilestoneDesc/MilestoneDesc_89,
MilestoneDesc/MilestoneDesc_9,Fourre un autre steak sur le BBQ, mon pote. Voici une récompense pour avoir fait griller de la viande.
MilestoneDesc/MilestoneDesc_90,
MilestoneDesc/MilestoneDesc_91,
MilestoneDesc/MilestoneDesc_92,

MilestoneTitles/Milestone_Name_0,Aucun
MilestoneTitles/Milestone_Name_1,Maître Récolteur
MilestoneTitles/Milestone_Name_10,Main verte
MilestoneTitles/Milestone_Name_11,Arroseur
MilestoneTitles/Milestone_Name_12,Brise cailloux
MilestoneTitles/Milestone_Name_13,Mineur
MilestoneTitles/Milestone_Name_14,Fondeur
MilestoneTitles/Milestone_Name_15,Broyage
MilestoneTitles/Milestone_Name_16,Bûcheron 
MilestoneTitles/Milestone_Name_17,Couper à la souche
MilestoneTitles/Milestone_Name_18,Scierie 
MilestoneTitles/Milestone_Name_19,Pêcheur 
MilestoneTitles/Milestone_Name_2,Blablabla 
MilestoneTitles/Milestone_Name_20,Tondeuse Humaine
MilestoneTitles/Milestone_Name_21,Chasse-tout 
MilestoneTitles/Milestone_Name_22,Braconnage 
MilestoneTitles/Milestone_Name_23,Décorateur d'intérieur 
MilestoneTitles/Milestone_Name_24,Nouveaux murs 
MilestoneTitles/Milestone_Name_25,Nouveaux planchers
MilestoneTitles/Milestone_Name_26,Vente De Graines
MilestoneTitles/Milestone_Name_27,Récolteur 
MilestoneTitles/Milestone_Name_28,Tisseur 
MilestoneTitles/Milestone_Name_29,Fruit cuit 
MilestoneTitles/Milestone_Name_3,Attrape-Insectes
MilestoneTitles/Milestone_Name_30,Cordon bleu
MilestoneTitles/Milestone_Name_31,Sylviculteur 
MilestoneTitles/Milestone_Name_32,Poissonnier 
MilestoneTitles/Milestone_Name_33,Vendeur d'insectes
MilestoneTitles/Milestone_Name_34,Un amour de coquillage
MilestoneTitles/Milestone_Name_35,Vente à la ferme 
MilestoneTitles/Milestone_Name_36,Archéologue
MilestoneTitles/Milestone_Name_37,Fruit Enterré
MilestoneTitles/Milestone_Name_38,Cueilleur De Perles
MilestoneTitles/Milestone_Name_39,Amoureux des bêtes 
MilestoneTitles/Milestone_Name_4,Artisant fou 
MilestoneTitles/Milestone_Name_40,Nourrisseur 
MilestoneTitles/Milestone_Name_41,Mineur des profondeurs
MilestoneTitles/Milestone_Name_42,Un ami sur qui comptait
MilestoneTitles/Milestone_Name_43,Empoisonné 
MilestoneTitles/Milestone_Name_44,Dur à cuire 
MilestoneTitles/Milestone_Name_45,Bosseur
MilestoneTitles/Milestone_Name_46,Correspondant
MilestoneTitles/Milestone_Name_47,Maître de maison
MilestoneTitles/Milestone_Name_48,Explorateur
MilestoneTitles/Milestone_Name_49,Campeur
MilestoneTitles/Milestone_Name_5,Super Goûteur 
MilestoneTitles/Milestone_Name_50,Urbaniste
MilestoneTitles/Milestone_Name_51,Bien Équipé
MilestoneTitles/Milestone_Name_52,Casse-tout
MilestoneTitles/Milestone_Name_53,Quêteur 
MilestoneTitles/Milestone_Name_54,Entomologiste
MilestoneTitles/Milestone_Name_55,Ichtyologiste
MilestoneTitles/Milestone_Name_56,Zoologiste 
MilestoneTitles/Milestone_Name_57,Transformateur 
MilestoneTitles/Milestone_Name_58,Merveill-oeufs 
MilestoneTitles/Milestone_Name_59,Semeur Sauvage
MilestoneTitles/Milestone_Name_6,Promenade
MilestoneTitles/Milestone_Name_60,Paysagiste 
MilestoneTitles/Milestone_Name_61,Montée de gamme
MilestoneTitles/Milestone_Name_62,Conducteur 
MilestoneTitles/Milestone_Name_63,Coiffure classe
MilestoneTitles/Milestone_Name_64,Salement riche 
MilestoneTitles/Milestone_Name_65,Eleveur 
MilestoneTitles/Milestone_Name_66,Pêcheur de crabes 
MilestoneTitles/Milestone_Name_67,Découvreur de fossiles
MilestoneTitles/Milestone_Name_68,Voleur d'oeufs
MilestoneTitles/Milestone_Name_69,Tête de ruche
MilestoneTitles/Milestone_Name_7,Acheteur Averti
MilestoneTitles/Milestone_Name_70,Apiculteur
MilestoneTitles/Milestone_Name_71,Peintre
MilestoneTitles/Milestone_Name_72,Chasseur de requins
MilestoneTitles/Milestone_Name_73,Sacrée moule
MilestoneTitles/Milestone_Name_74,Fermenteur 
MilestoneTitles/Milestone_Name_75,Téléportation
MilestoneTitles/Milestone_Name_76,Composteur
MilestoneTitles/Milestone_Name_77,Belle Une-Roue
MilestoneTitles/Milestone_Name_78,Maître tondeur
MilestoneTitles/Milestone_Name_79,Maître-charcutier [CORRECTION Maîter bûcheron -> Maître-charcutier]
MilestoneTitles/Milestone_Name_8,Entrepreneur
MilestoneTitles/Milestone_Name_80,Agriculteur
MilestoneTitles/Milestone_Name_81,Quel sot !
MilestoneTitles/Milestone_Name_82,Photographe
MilestoneTitles/Milestone_Name_83,Planeur
MilestoneTitles/Milestone_Name_84,Serrurier
MilestoneTitles/Milestone_Name_85,Bon Laitier
MilestoneTitles/Milestone_Name_86,Coiffeur
MilestoneTitles/Milestone_Name_87,Maraicher
MilestoneTitles/Milestone_Name_88,Or jaune
MilestoneTitles/Milestone_Name_89,
MilestoneTitles/Milestone_Name_9,Maître Du Grill
MilestoneTitles/Milestone_Name_90,

Npc0/Arvo_Greeting 1_Intro_000,Oh, eh bien, bonjour, <PlayerName>
Npc0/Arvo_Greeting 1_Response_003_000,
Npc0/Arvo_Greeting 2_Intro_000,<yes>Il va bientôt faire nuit.
Npc0/Arvo_Greeting 2_Response_003_000,Utilise ça dès qu'il fera jour, <PlayerName> !
Npc0/CompleteRequest_000_Intro_000,<pumped>Youpi !
Npc0/CompleteRequest_000_Intro_001,Je savais que je pouvais compter sur toi.
Npc0/CompleteRequest_000_Intro_002,Maintenant, j'ai quelque chose pour <PlayerName> !
Npc0/CompleteRequest_000_Intro_003,<glee>J'espère que tu l'aimera !
Npc0/Gossip_About_NPC_001_Intro_000,<no>Jamais je ne pourrais travailler aux heures auxquelles travaille <NPCName>
Npc0/Gossip_About_NPC_001_Intro_001,<thinking>Il m'a dit qu'il faisait ça pour son frère
Npc0/Gossip_About_NPC_001_Intro_002,Mais son frère ne voudrait-il pas qu'il soit heureux ?
Npc0/Gossip_About_NPC_002_Intro_000,Les épouvantails de <NPCName> sont, genre, si grossiers.
Npc0/Gossip_About_NPC_002_Intro_001,<no>Ils éloignent les oiseaux, mais quand je leur fait coucou, ils ne répondent jamais.
Npc0/Gossip_About_NPC_002_Intro_002,Peut-être que je ressemble trop à un oiseau ?
Npc0/Gossip_About_NPC_003_Intro_000,<yes><NPCName> est adorable !
Npc0/Gossip_About_NPC_003_Intro_001,<haha> Je le vois Vvciller, chanceler, et grogner à longueur de journée..
Npc0/Gossip_About_NPC_003_Intro_002,<glee>J'ai juste envie de lui faire un câlin !
Npc0/Gossip_About_NPC_004_Intro_000,<yes><NPCName> m'a dit où je pouvais trouver mon arrosoir porte-bonheur.
